visiting,home,visiting_mp,visiting_fg,visiting_fga,visiting_fg_pct,visiting_fg3,visiting_fg3a,visiting_fg3_pct,visiting_ft,visiting_fta,visiting_ft_pct,visiting_orb,visiting_drb,visiting_trb,visiting_ast,visiting_stl,visiting_blk,visiting_tov,visiting_pf,visiting_pts,home_mp,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts
WAS,CLE,240,32,90,0.356,8,32,0.25,12,20,0.6,18,21,39,26,11,10,12,19,84,240,36,79,0.456,7,20,0.35,15,22,0.682,18,36,54,22,7,5,20,21,94
DAL,LAL,240,40,85,0.471,5,15,0.333,14,18,0.778,9,31,40,22,9,5,11,25,99,240,38,77,0.494,3,13,0.231,12,31,0.387,15,31,46,24,6,5,14,21,91
BOS,MIA,240,39,75,0.52,6,13,0.462,23,28,0.821,7,34,41,24,4,2,15,23,107,240,43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,120
SAC,CHI,240,34,84,0.405,6,17,0.353,13,16,0.813,11,29,40,14,10,5,19,29,87,240,33,79,0.418,2,9,0.222,25,33,0.758,14,32,46,21,8,10,18,19,93
HOU,DET,240,39,79,0.494,10,27,0.37,17,23,0.739,12,33,45,28,12,3,20,24,105,240,35,79,0.443,6,16,0.375,20,26,0.769,10,26,36,21,12,4,16,15,96
MEM,LAC,240,33,86,0.384,2,14,0.143,24,30,0.8,17,27,44,24,14,4,18,25,92,240,38,74,0.514,5,15,0.333,20,29,0.69,8,31,39,25,12,9,22,27,101
SAS,NOH,240,38,80,0.475,6,20,0.3,17,26,0.654,10,33,43,22,9,8,15,21,99,240,35,80,0.438,4,17,0.235,21,23,0.913,9,34,43,26,7,6,13,20,95
DEN,PHI,240,33,88,0.375,4,18,0.222,5,11,0.455,16,38,54,19,9,5,20,22,75,240,30,85,0.353,7,25,0.28,17,21,0.81,14,33,47,18,13,11,15,14,84
GSW,PHO,240,33,86,0.384,5,17,0.294,16,23,0.696,17,32,49,19,9,3,18,20,87,240,32,80,0.4,4,21,0.19,17,22,0.773,11,33,44,16,10,12,18,23,85
LAL,POR,240,36,72,0.5,8,18,0.444,26,32,0.813,15,30,45,21,6,2,24,29,106,240,42,83,0.506,9,20,0.45,23,28,0.821,10,20,30,19,10,5,12,20,116
IND,TOR,240,37,78,0.474,5,11,0.455,11,16,0.688,9,37,46,22,3,10,18,16,90,240,33,91,0.363,6,17,0.353,16,19,0.842,15,27,42,18,12,8,10,18,88
DAL,UTA,240,32,85,0.376,11,22,0.5,19,26,0.731,8,32,40,20,8,5,16,32,94,240,38,89,0.427,6,14,0.429,31,42,0.738,20,41,61,24,10,8,14,25,113
OKC,SAS,240,29,77,0.377,7,17,0.412,19,23,0.826,12,36,48,18,6,5,18,20,84,240,35,79,0.443,5,19,0.263,11,16,0.688,6,33,39,27,9,4,13,21,86
HOU,ATL,240,38,90,0.422,8,30,0.267,25,29,0.862,23,35,58,22,8,2,21,18,109,240,40,85,0.471,7,22,0.318,15,17,0.882,7,29,36,23,12,4,13,26,102
MIL,BOS,240,40,86,0.465,8,18,0.444,11,12,0.917,11,35,46,26,12,5,18,17,99,240,33,74,0.446,5,14,0.357,17,21,0.81,6,30,36,22,9,4,18,18,88
IND,CHA,240,33,83,0.398,7,26,0.269,16,27,0.593,14,38,52,19,5,5,17,16,89,240,31,85,0.365,7,19,0.368,21,24,0.875,10,31,41,18,10,9,10,22,90
CHI,CLE,240,44,69,0.638,4,10,0.4,23,30,0.767,5,36,41,34,7,4,17,21,115,240,32,79,0.405,8,20,0.4,14,27,0.519,11,22,33,23,7,1,17,25,86
MEM,GSW,240,35,77,0.455,6,13,0.462,28,34,0.824,9,31,40,22,9,4,13,22,104,240,36,80,0.45,10,20,0.5,12,17,0.706,9,27,36,21,5,5,18,24,94
LAC,LAL,240,38,84,0.452,8,22,0.364,21,27,0.778,9,28,37,24,12,4,11,26,105,240,34,68,0.5,7,16,0.438,20,28,0.714,7,31,38,15,7,7,20,23,95
SAC,MIN,240,32,89,0.36,3,16,0.188,13,16,0.813,11,32,43,17,7,4,11,34,80,240,32,87,0.368,2,17,0.118,26,36,0.722,17,36,53,17,4,10,11,17,92
UTA,NOH,240,35,85,0.412,10,28,0.357,6,12,0.5,16,28,44,19,7,6,14,21,86,240,37,81,0.457,5,14,0.357,9,14,0.643,12,30,42,23,7,4,12,16,88
MIA,NYK,240,33,71,0.465,7,20,0.35,11,13,0.846,7,34,41,18,4,5,21,18,84,240,36,84,0.429,19,36,0.528,13,15,0.867,13,28,41,27,10,0,12,22,104
POR,OKC,240,32,89,0.36,9,26,0.346,19,24,0.792,11,33,44,17,4,0,11,25,92,240,39,76,0.513,5,9,0.556,23,32,0.719,8,39,47,18,2,10,12,22,106
DEN,ORL,240,32,84,0.381,7,26,0.269,18,27,0.667,15,30,45,22,5,5,14,17,89,240,42,86,0.488,5,15,0.333,13,18,0.722,11,35,46,24,8,8,11,24,102
DET,PHO,240,37,90,0.411,4,13,0.308,11,19,0.579,10,29,39,20,2,5,9,19,89,240,40,92,0.435,2,11,0.182,10,14,0.714,15,37,52,15,6,5,12,20,92
TOR,BRK,240,37,82,0.451,7,18,0.389,19,25,0.76,10,27,37,23,8,5,14,31,100,240,37,81,0.457,6,15,0.4,27,37,0.73,9,32,41,20,6,5,17,19,107
NOH,CHI,240,32,75,0.427,5,18,0.278,20,23,0.87,9,35,44,13,7,9,16,21,89,240,29,88,0.33,3,17,0.176,21,25,0.84,15,26,41,21,11,6,12,20,82
CHA,DAL,240,39,91,0.429,3,17,0.176,18,24,0.75,15,23,38,19,13,2,10,14,99,240,49,80,0.613,16,25,0.64,12,15,0.8,8,35,43,31,6,7,22,23,126
POR,HOU,265,39,93,0.419,10,24,0.417,7,12,0.583,10,43,53,28,11,8,16,18,95,265,34,96,0.354,5,26,0.192,12,18,0.667,16,40,56,19,12,4,18,16,85
SAC,IND,290,37,102,0.363,8,22,0.364,16,20,0.8,16,31,47,19,15,13,16,26,98,290,39,99,0.394,4,22,0.182,24,27,0.889,21,46,67,16,10,14,21,19,106
GSW,LAC,240,41,84,0.488,4,16,0.25,28,39,0.718,16,32,48,22,7,2,13,34,114,240,30,70,0.429,10,21,0.476,40,52,0.769,7,26,33,21,6,5,16,31,110
DEN,MIA,240,49,95,0.516,5,21,0.238,13,20,0.65,18,29,47,13,5,3,13,21,116,240,43,83,0.518,10,25,0.4,23,27,0.852,7,25,32,26,9,8,8,16,119
CLE,MIL,240,39,83,0.47,6,16,0.375,18,29,0.621,9,33,42,19,9,0,15,21,102,240,41,79,0.519,9,24,0.375,14,21,0.667,3,34,37,32,8,9,15,18,105
UTA,SAS,240,38,77,0.494,5,13,0.385,19,22,0.864,9,23,32,17,11,7,16,22,100,240,42,74,0.568,7,13,0.538,19,23,0.826,7,26,33,29,8,6,18,18,110
BOS,WAS,240,36,84,0.429,8,21,0.381,9,13,0.692,6,29,35,24,8,4,9,12,89,240,34,78,0.436,6,20,0.3,12,17,0.706,7,39,46,20,7,4,15,14,86
DET,LAL,240,28,79,0.354,4,13,0.308,19,23,0.826,13,20,33,19,5,5,16,20,79,240,40,77,0.519,10,22,0.455,18,26,0.692,16,30,46,27,11,8,15,20,108
PHI,NYK,240,34,79,0.43,8,17,0.471,8,10,0.8,10,31,41,14,8,2,18,18,84,240,39,77,0.506,11,27,0.407,11,18,0.611,8,31,39,18,12,5,14,10,100
