date_game,box_score_url,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,game_remarks
"Tue, Oct 30, 2012",/boxscores/201210300CLE.html,Washington Wizards,84,Cleveland Cavaliers,94,,
"Tue, Oct 30, 2012",/boxscores/201210300LAL.html,Dallas Mavericks,99,Los Angeles Lakers,91,,
"Tue, Oct 30, 2012",/boxscores/201210300MIA.html,Boston Celtics,107,Miami Heat,120,,
"Wed, Oct 31, 2012",/boxscores/201210310CHI.html,Sacramento Kings,87,Chicago Bulls,93,,
"Wed, Oct 31, 2012",/boxscores/201210310DET.html,Houston Rockets,105,Detroit Pistons,96,,
"Wed, Oct 31, 2012",/boxscores/201210310LAC.html,Memphis Grizzlies,92,Los Angeles Clippers,101,,
"Wed, Oct 31, 2012",/boxscores/201210310NOH.html,San Antonio Spurs,99,New Orleans Hornets,95,,
"Wed, Oct 31, 2012",/boxscores/201210310PHI.html,Denver Nuggets,75,Philadelphia 76ers,84,,
"Wed, Oct 31, 2012",/boxscores/201210310PHO.html,Golden State Warriors,87,Phoenix Suns,85,,
"Wed, Oct 31, 2012",/boxscores/201210310POR.html,Los Angeles Lakers,106,Portland Trail Blazers,116,,
"Wed, Oct 31, 2012",/boxscores/201210310TOR.html,Indiana Pacers,90,Toronto Raptors,88,,
"Wed, Oct 31, 2012",/boxscores/201210310UTA.html,Dallas Mavericks,94,Utah Jazz,113,,
"Thu, Nov 1, 2012",/boxscores/201211010SAS.html,Oklahoma City Thunder,84,San Antonio Spurs,86,,
"Fri, Nov 2, 2012",/boxscores/201211020ATL.html,Houston Rockets,109,Atlanta Hawks,102,,
"Fri, Nov 2, 2012",/boxscores/201211020BOS.html,Milwaukee Bucks,99,Boston Celtics,88,,
"Fri, Nov 2, 2012",/boxscores/201211020CHA.html,Indiana Pacers,89,Charlotte Bobcats,90,,
"Fri, Nov 2, 2012",/boxscores/201211020CLE.html,Chicago Bulls,115,Cleveland Cavaliers,86,,
"Fri, Nov 2, 2012",/boxscores/201211020GSW.html,Memphis Grizzlies,104,Golden State Warriors,94,,
"Fri, Nov 2, 2012",/boxscores/201211020LAL.html,Los Angeles Clippers,105,Los Angeles Lakers,95,,
"Fri, Nov 2, 2012",/boxscores/201211020MIN.html,Sacramento Kings,80,Minnesota Timberwolves,92,,
"Fri, Nov 2, 2012",/boxscores/201211020NOH.html,Utah Jazz,86,New Orleans Hornets,88,,
"Fri, Nov 2, 2012",/boxscores/201211020NYK.html,Miami Heat,84,New York Knicks,104,,
"Fri, Nov 2, 2012",/boxscores/201211020OKC.html,Portland Trail Blazers,92,Oklahoma City Thunder,106,,
"Fri, Nov 2, 2012",/boxscores/201211020ORL.html,Denver Nuggets,89,Orlando Magic,102,,
"Fri, Nov 2, 2012",/boxscores/201211020PHO.html,Detroit Pistons,89,Phoenix Suns,92,,
"Sat, Nov 3, 2012",/boxscores/201211030BRK.html,Toronto Raptors,100,Brooklyn Nets,107,,
"Sat, Nov 3, 2012",/boxscores/201211030CHI.html,New Orleans Hornets,89,Chicago Bulls,82,,
"Sat, Nov 3, 2012",/boxscores/201211030DAL.html,Charlotte Bobcats,99,Dallas Mavericks,126,,
"Sat, Nov 3, 2012",/boxscores/201211030HOU.html,Portland Trail Blazers,95,Houston Rockets,85,OT,
"Sat, Nov 3, 2012",/boxscores/201211030IND.html,Sacramento Kings,98,Indiana Pacers,106,2OT,
"Sat, Nov 3, 2012",/boxscores/201211030LAC.html,Golden State Warriors,114,Los Angeles Clippers,110,,
"Sat, Nov 3, 2012",/boxscores/201211030MIA.html,Denver Nuggets,116,Miami Heat,119,,
"Sat, Nov 3, 2012",/boxscores/201211030MIL.html,Cleveland Cavaliers,102,Milwaukee Bucks,105,,
"Sat, Nov 3, 2012",/boxscores/201211030SAS.html,Utah Jazz,100,San Antonio Spurs,110,,
"Sat, Nov 3, 2012",/boxscores/201211030WAS.html,Boston Celtics,89,Washington Wizards,86,,
"Sun, Nov 4, 2012",/boxscores/201211040LAL.html,Detroit Pistons,79,Los Angeles Lakers,108,,
"Sun, Nov 4, 2012",/boxscores/201211040NYK.html,Philadelphia 76ers,84,New York Knicks,100,,
"Sun, Nov 4, 2012",/boxscores/201211040OKC.html,Atlanta Hawks,104,Oklahoma City Thunder,95,,
"Sun, Nov 4, 2012",/boxscores/201211040ORL.html,Phoenix Suns,94,Orlando Magic,115,,
"Sun, Nov 4, 2012",/boxscores/201211040TOR.html,Minnesota Timberwolves,86,Toronto Raptors,105,,
"Mon, Nov 5, 2012",/boxscores/201211050BRK.html,Minnesota Timberwolves,107,Brooklyn Nets,96,,
"Mon, Nov 5, 2012",/boxscores/201211050DAL.html,Portland Trail Blazers,91,Dallas Mavericks,114,,
"Mon, Nov 5, 2012",/boxscores/201211050LAC.html,Cleveland Cavaliers,108,Los Angeles Clippers,101,,
"Mon, Nov 5, 2012",/boxscores/201211050MEM.html,Utah Jazz,94,Memphis Grizzlies,103,,
"Mon, Nov 5, 2012",/boxscores/201211050MIA.html,Phoenix Suns,99,Miami Heat,124,,
"Mon, Nov 5, 2012",/boxscores/201211050PHI.html,New York Knicks,110,Philadelphia 76ers,88,,
"Mon, Nov 5, 2012",/boxscores/201211050SAC.html,Golden State Warriors,92,Sacramento Kings,94,,
"Mon, Nov 5, 2012",/boxscores/201211050SAS.html,Indiana Pacers,79,San Antonio Spurs,101,,
"Tue, Nov 6, 2012",/boxscores/201211060CHI.html,Orlando Magic,93,Chicago Bulls,99,,
"Tue, Nov 6, 2012",/boxscores/201211060DEN.html,Detroit Pistons,97,Denver Nuggets,109,,
"Tue, Nov 6, 2012",/boxscores/201211060OKC.html,Toronto Raptors,88,Oklahoma City Thunder,108,,
